year,01,02,03,04,05,06,07,08,09,10,11,12
2020,7200.85,9384.61,8531.88,6642.92,8826.96,10200.77,9232.0,11801.17,11921.97,10619.13,13761.5,18764.96
2021,29331.69,33526.37,49587.03,58720.44,57800.37,36693.09,33504.69,39845.44,48810.52,48141.61,60911.11,57184.07
2022,47722.65,38694.59,44421.2,46283.49,38468.35,29805.83,19279.8,23268.01,20131.46,19310.95,20483.62,16977.37
2023,16616.75,23732.66,23628.97,28452.73,28068.26,26817.93,30585.9,29705.99,25805.05,27992.57,35421.43,38682.52
2024,44179.55,43082.94,62387.9,69649.8,58364.97,67766.85,62899.99,65354.02,57301.86,60805.78,69496.01,97185.18
2025,94591.79,100635.65,86064.53,85158.34,,,,,,,,
