year,01,02,03,04,05,06,07,08,09,10,11,12
2020,0.6176,0.7394,0.6356,0.5225,0.0895,0.2632,0.6442,0.9995,0.4922,0.5139,0.6478,0.4762
2021,0.7359,0.0037,0.1088,0.4787,0.7987,0.6173,0.6793,0.5181,0.5466,0.4087,0.3931,0.655
2022,0.4153,0.4937,0.4282,0.4567,0.0,0.4538,0.3807,0.3509,0.4824,0.3929,0.3848,0.4096
2023,0.3948,0.3967,0.405,0.4089,0.3965,0.4394,0.4695,0.3848,0.3799,0.3809,0.3928,0.3514
2024,0.3671,0.4767,0.3441,0.3987,0.4217,0.374,0.3658,0.3858,0.3969,0.4078,0.4881,0.4538
2025,0.5216,0.3937,0.3877,0.3741,,,,,,,,
