기간유형,기간,게시글수,총조회수,평균조회수,최대조회수,총댓글수,평균댓글수
주차,2021-12-06/2021-12-12,483,70273,145.49,,78,0.16
주차,2021-12-13/2021-12-19,516,70616,136.85,,75,0.15
주차,2021-12-20/2021-12-26,427,56346,131.96,,101,0.24
주차,2021-12-27/2022-01-02,418,53339,127.61,,65,0.16
주차,2022-01-03/2022-01-09,425,54472,128.17,,103,0.24
주차,2022-01-10/2022-01-16,421,64801,153.92,,86,0.2
주차,2022-01-17/2022-01-23,612,76254,124.6,,94,0.15
주차,2022-01-24/2022-01-30,541,62809,116.1,,82,0.15
주차,2022-01-31/2022-02-06,439,50264,114.5,,138,0.31
주차,2022-02-07/2022-02-13,456,50775,111.35,,138,0.3
주차,2022-02-14/2022-02-20,468,50896,108.75,,92,0.2
주차,2022-02-21/2022-02-27,493,53180,107.87,,33,0.07
주차,2022-02-28/2022-03-06,438,40416,92.27,,23,0.05
주차,2022-03-07/2022-03-13,374,38771,103.67,,50,0.13
주차,2022-03-14/2022-03-20,480,51103,106.46,,63,0.13
주차,2022-03-21/2022-03-27,483,50273,104.08,,79,0.16
주차,2022-03-28/2022-04-03,667,65922,98.83,,49,0.07
주차,2022-04-04/2022-04-10,476,40047,84.13,,29,0.06
주차,2022-04-11/2022-04-17,436,43252,99.2,,78,0.18
주차,2022-04-18/2022-04-24,555,47644,85.85,,80,0.14
주차,2022-04-25/2022-05-01,621,60478,97.39,,128,0.21
주차,2022-05-02/2022-05-08,513,50990,99.4,,175,0.34
주차,2022-05-09/2022-05-15,987,232949,236.02,,322,0.33
주차,2022-05-16/2022-05-22,454,47530,104.69,,61,0.13
주차,2022-05-23/2022-05-29,519,49420,95.22,,74,0.14
주차,2022-05-30/2022-06-05,466,39207,84.14,,138,0.3
주차,2022-06-06/2022-06-12,551,51135,92.8,,96,0.17
주차,2022-06-13/2022-06-19,770,76982,99.98,,205,0.27
주차,2022-06-20/2022-06-26,433,42332,97.76,,115,0.27
주차,2022-06-27/2022-07-03,427,37790,88.5,,81,0.19
주차,2022-07-04/2022-07-10,561,49597,88.41,,135,0.24
주차,2022-07-11/2022-07-17,509,45853,90.08,,81,0.16
주차,2022-07-18/2022-07-24,427,38001,89.0,,40,0.09
주차,2022-07-25/2022-07-31,416,40687,97.81,,92,0.22
주차,2022-08-01/2022-08-07,366,33644,91.92,,40,0.11
주차,2022-08-08/2022-08-14,338,32209,95.29,,44,0.13
주차,2022-08-15/2022-08-21,372,38085,102.38,,47,0.13
주차,2022-08-22/2022-08-28,360,43635,121.21,,85,0.24
주차,2022-08-29/2022-09-04,303,32263,106.48,,77,0.25
주차,2022-09-05/2022-09-11,308,33527,108.85,,39,0.13
주차,2022-09-12/2022-09-18,346,36423,105.27,,38,0.11
주차,2022-09-19/2022-09-25,332,39748,119.72,,73,0.22
주차,2022-09-26/2022-10-02,337,32931,97.72,,31,0.09
주차,2022-10-03/2022-10-09,293,27812,94.92,,21,0.07
주차,2022-10-10/2022-10-16,301,27567,91.58,,27,0.09
주차,2022-10-17/2022-10-23,257,24295,94.53,,32,0.12
주차,2022-10-24/2022-10-30,281,27454,97.7,,42,0.15
주차,2022-10-31/2022-11-06,268,29549,110.26,,18,0.07
주차,2022-11-07/2022-11-13,540,87518,162.07,,162,0.3
주차,2022-11-14/2022-11-20,357,43666,122.31,,70,0.2
주차,2022-11-21/2022-11-27,306,35738,116.79,,180,0.59
주차,2022-11-28/2022-12-04,261,32373,124.03,,59,0.23
주차,2022-12-05/2022-12-11,158,24414,154.52,,44,0.28
주차,2022-12-12/2022-12-18,233,32910,141.24,,72,0.31
주차,2022-12-19/2022-12-25,181,27448,151.65,,69,0.38
주차,2022-12-26/2023-01-01,161,18531,115.1,,18,0.11
주차,2023-01-02/2023-01-08,170,21958,129.16,,91,0.54
주차,2023-01-09/2023-01-15,312,32384,103.79,,47,0.15
주차,2023-01-16/2023-01-22,309,31925,103.32,,42,0.14
주차,2023-01-23/2023-01-29,266,30531,114.78,,36,0.14
주차,2023-01-30/2023-02-05,249,31144,125.08,,35,0.14
주차,2023-02-06/2023-02-12,316,37112,117.44,,38,0.12
