date,open,high,low,close,volume
2025-04-30,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-29,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-28,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-27,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-26,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-25,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-24,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-23,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-22,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-21,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-20,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-19,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-18,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-17,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-16,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-15,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-14,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-13,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-12,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-11,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-10,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-09,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-08,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-07,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-06,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-05,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-04,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-03,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-02,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-04-01,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-03-31,1.13E+14,1.13E+14,1.13E+14,1.13E+14,0
2025-03-30,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-29,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-28,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-27,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-26,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-25,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-24,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-23,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-22,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-21,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-20,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-19,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-18,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-17,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-16,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-15,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-14,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-13,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-12,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-11,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-10,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-09,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-08,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-07,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-06,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-05,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-04,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-03,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-02,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-03-01,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-02-28,1.09E+14,1.09E+14,1.09E+14,1.09E+14,0
2025-02-27,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-26,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-25,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-24,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-23,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-22,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-21,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-20,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-19,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-18,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-17,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-16,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-15,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-14,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-13,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-12,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-11,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-10,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-09,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-08,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-07,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-06,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-05,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-04,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-03,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-02,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-02-01,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-01-31,1.12E+14,1.12E+14,1.12E+14,1.12E+14,0
2025-01-30,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-29,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-28,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-27,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-26,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-25,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-24,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-23,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-22,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-21,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-20,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-19,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-18,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-17,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-16,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-15,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-14,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-13,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-12,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-11,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-10,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-09,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-08,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-07,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-06,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-05,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-04,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-03,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-02,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2025-01-01,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2024-12-31,6.71E+13,6.71E+13,6.71E+13,6.71E+13,0
2024-12-30,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-29,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-28,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-27,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-26,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-25,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-24,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-23,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-22,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-21,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-20,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-19,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-18,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-17,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-16,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-15,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-14,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-13,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-12,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-11,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-10,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-09,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-08,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-07,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-06,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-05,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-04,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-03,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-02,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-12-01,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-11-30,6.51E+13,6.51E+13,6.51E+13,6.51E+13,0
2024-11-29,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-28,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-27,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-26,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-25,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-24,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-23,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-22,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-21,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-20,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-19,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-18,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-17,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-16,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-15,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-14,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-13,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-12,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-11,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-10,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-09,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-08,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-07,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-06,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-05,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-04,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-03,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-02,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-11-01,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-10-31,6.33E+13,6.33E+13,6.33E+13,6.33E+13,0
2024-10-30,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-29,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-28,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-27,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-26,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-25,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-24,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-23,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-22,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-21,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-20,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-19,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-18,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-17,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-16,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-15,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-14,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-13,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-12,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-11,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-10,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-09,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-08,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-07,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-06,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-05,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-04,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-03,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-02,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-10-01,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-09-30,6.28E+13,6.28E+13,6.28E+13,6.28E+13,0
2024-09-29,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-28,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-27,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-26,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-25,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-24,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-23,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-22,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-21,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-20,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-19,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-18,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-17,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-16,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-15,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-14,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-13,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-12,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-11,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-10,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-09,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-08,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-07,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-06,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-05,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-04,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-03,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-02,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-09-01,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-08-31,6.30E+13,6.30E+13,6.30E+13,6.30E+13,0
2024-08-30,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-29,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-28,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-27,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-26,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-25,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-24,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-23,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-22,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-21,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-20,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-19,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-18,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-17,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-16,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-15,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-14,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-13,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-12,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-11,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-10,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-09,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-08,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-07,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-06,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-05,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-04,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-03,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-02,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-08-01,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-07-31,6.32E+13,6.32E+13,6.32E+13,6.32E+13,0
2024-07-30,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-29,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-28,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-27,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-26,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-25,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-24,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-23,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-22,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-21,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-20,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-19,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-18,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-17,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-16,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-15,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-14,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-13,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-12,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-11,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-10,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-09,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-08,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-07,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-06,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-05,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-04,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-03,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-02,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-07-01,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-06-30,6.61E+13,6.61E+13,6.61E+13,6.61E+13,0
2024-06-29,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-28,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-27,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-26,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-25,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-24,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-23,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-22,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-21,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-20,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-19,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-18,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
2024-06-17,6.47E+13,6.47E+13,6.47E+13,6.47E+13,0
