date,open,high,low,close,volume
2025-04-30,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-29,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-28,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-27,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-26,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-25,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-24,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-23,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-22,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-21,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-20,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-19,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-18,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-17,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-16,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-15,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-14,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-13,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-12,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-11,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-10,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-09,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-08,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-07,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-06,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-05,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-04,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-03,1.85426E+13,1.85426E+13,1.85426E+13,1.85426E+13,0
2025-04-02,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-04-01,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-31,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-30,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-29,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-28,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-27,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-26,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-25,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-24,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-23,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-22,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-21,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-20,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-19,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-18,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-17,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-16,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-15,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-14,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-13,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-12,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-11,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-10,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-09,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-08,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-07,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-06,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-05,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-04,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-03,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-02,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-03-01,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-02-28,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-02-27,1.85311E+13,1.85311E+13,1.85311E+13,1.85311E+13,0
2025-02-26,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-25,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-24,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-23,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-22,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-21,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-20,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-19,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-18,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-17,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-16,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-15,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-14,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-13,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-12,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-11,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-10,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-09,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-08,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-07,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-06,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-05,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-04,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-03,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-02,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-02-01,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-01-31,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-01-30,1.8464E+13,1.8464E+13,1.8464E+13,1.8464E+13,0
2025-01-29,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-28,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-27,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-26,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-25,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-24,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-23,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-22,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-21,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-20,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-19,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
2025-01-18,1.84339E+13,1.84339E+13,1.84339E+13,1.84339E+13,0
